timestamp,temperature_celsius,humidity_percent,gas_level_ppm,condition_label
2023-01-01 00:00:00,13.25,99.0,203.8,Foggy
2023-01-01 00:15:00,12.82,99.0,160.8,Foggy
2023-01-01 00:30:00,12.74,96.3,147.5,Foggy
2023-01-01 00:45:00,11.67,99.0,135.4,Foggy
2023-01-01 01:00:00,12.67,98.5,170.5,Foggy
2023-01-01 01:15:00,11.33,99.0,167.9,Foggy
2023-01-01 01:30:00,12.5,99.0,164.4,Foggy
2023-01-01 01:45:00,18.89,99.0,189.9,Foggy
2023-01-01 02:00:00,13.1,99.0,148.9,Foggy
2023-01-01 02:15:00,10.64,99.0,165.2,Foggy
2023-01-01 02:30:00,11.98,99.0,198.8,Foggy
2023-01-01 02:45:00,14.19,97.7,175.2,Foggy
2023-01-01 03:00:00,12.39,97.5,202.2,Foggy
2023-01-01 03:15:00,12.53,99.0,196.2,Foggy
2023-01-01 03:30:00,14.53,99.0,183.5,Foggy
2023-01-01 03:45:00,16.43,93.9,143.0,Foggy
2023-01-01 04:00:00,15.19,89.7,173.1,Normal
2023-01-01 04:15:00,14.64,95.5,186.8,Foggy
2023-01-01 04:30:00,19.0,92.4,178.2,Foggy
2023-01-01 04:45:00,17.4,84.2,316.9,Poor Air Quality
2023-01-01 05:00:00,15.36,92.4,155.8,Foggy
2023-01-01 05:15:00,18.62,79.6,176.4,Normal
2023-01-01 05:30:00,14.35,95.9,210.5,Foggy
2023-01-01 05:45:00,21.21,81.9,153.9,Normal
2023-01-01 06:00:00,22.54,84.9,161.7,Normal
2023-01-01 06:15:00,23.07,87.4,161.0,Normal
2023-01-01 06:30:00,18.28,84.8,160.8,Normal
2023-01-01 06:45:00,22.35,77.1,208.2,Normal
2023-01-01 07:00:00,20.49,89.4,199.2,Normal
2023-01-01 07:15:00,21.62,82.8,245.2,Normal
2023-01-01 07:30:00,19.11,84.7,234.3,Normal
2023-01-01 07:45:00,26.86,65.4,238.3,Normal
2023-01-01 08:00:00,24.84,69.2,254.0,Normal
2023-01-01 08:15:00,25.73,66.6,176.3,Normal
2023-01-01 08:30:00,26.18,72.8,256.3,Normal
2023-01-01 08:45:00,23.18,69.3,223.6,Normal
2023-01-01 09:00:00,25.94,76.3,248.7,Normal
2023-01-01 09:15:00,23.99,76.8,212.2,Normal
2023-01-01 09:30:00,25.47,73.3,220.0,Normal
2023-01-01 09:45:00,26.28,70.8,165.7,Normal
2023-01-01 10:00:00,27.61,58.7,161.9,Normal
2023-01-01 10:15:00,27.65,60.8,166.8,Normal
2023-01-01 10:30:00,29.35,67.6,130.9,Normal
2023-01-01 10:45:00,28.59,63.7,170.2,Normal
2023-01-01 11:00:00,29.13,67.3,178.0,Normal
2023-01-01 11:15:00,25.68,59.3,268.8,Normal
2023-01-01 11:30:00,24.41,70.5,503.2,Poor Air Quality
2023-01-01 11:45:00,26.47,63.6,174.3,Normal
2023-01-01 12:00:00,26.8,65.9,148.6,Normal
2023-01-01 12:15:00,30.99,62.7,163.1,Normal
2023-01-01 12:30:00,26.93,68.9,807.3,Poor Air Quality
2023-01-01 12:45:00,29.0,66.2,141.1,Normal
2023-01-01 13:00:00,28.62,54.3,180.6,Normal
2023-01-01 13:15:00,32.23,62.2,133.6,Hot
2023-01-01 13:30:00,27.51,73.4,147.5,Normal
2023-01-01 13:45:00,26.68,60.1,149.9,Normal
2023-01-01 14:00:00,26.93,63.6,192.6,Normal
2023-01-01 14:15:00,25.22,70.8,329.7,Poor Air Quality
2023-01-01 14:30:00,27.41,68.5,156.6,Normal
2023-01-01 14:45:00,27.29,67.4,161.4,Normal
2023-01-01 15:00:00,26.48,65.1,148.1,Normal
2023-01-01 15:15:00,24.67,69.1,190.9,Normal
2023-01-01 15:30:00,27.54,69.8,143.2,Normal
2023-01-01 15:45:00,20.68,72.9,172.2,Normal
2023-01-01 16:00:00,23.82,79.8,185.3,Normal
2023-01-01 16:15:00,24.28,78.2,173.1,Normal
2023-01-01 16:30:00,24.91,72.0,170.9,Normal
2023-01-01 16:45:00,18.74,82.1,222.2,Normal
2023-01-01 17:00:00,23.58,80.2,201.4,Normal
2023-01-01 17:15:00,18.15,94.0,227.9,Foggy
2023-01-01 17:30:00,23.15,74.9,199.6,Normal
2023-01-01 17:45:00,19.39,86.9,242.7,Normal
2023-01-01 18:00:00,17.36,81.9,198.4,Normal
2023-01-01 18:15:00,16.18,98.6,218.2,Foggy
2023-01-01 18:30:00,20.9,79.5,248.1,Normal
